system:time_start,undefined
"Feb 18, 2000","3,747.966"
"Mar 5, 2000","3,510.609"
"Mar 21, 2000","3,532.647"
"Apr 6, 2000","3,173.615"
"Apr 22, 2000","2,879.925"
"May 8, 2000","4,792.448"
"May 24, 2000","5,195.633"
"Jun 9, 2000","4,597.07"
"Jun 25, 2000","4,565.312"
"Jul 11, 2000","5,594.029"
"Jul 27, 2000","1,567.319"
"Aug 12, 2000","3,489.83"
"Aug 28, 2000","7,087.799"
"Sep 13, 2000","6,804.907"
"Sep 29, 2000","7,469.6"
"Oct 15, 2000","2,940.794"
"Oct 31, 2000","6,399.084"
"Nov 16, 2000","6,546.353"
"Dec 2, 2000","6,416.002"
"Dec 18, 2000","5,624.213"
"Jan 1, 2001","5,745.412"
"Jan 17, 2001","4,880.873"
"Feb 2, 2001","4,545.799"
"Feb 18, 2001","4,535.833"
"Mar 6, 2001","2,176.878"
"Mar 22, 2001","5,149.068"
"Apr 7, 2001","6,030.52"
"Apr 23, 2001","6,331.649"
"May 9, 2001","6,494.172"
"May 25, 2001","6,666.778"
"Jun 10, 2001","6,817.104"
"Jun 26, 2001","5,933.679"
"Jul 12, 2001","6,774.6"
"Jul 28, 2001","6,592.088"
"Aug 13, 2001","6,987.05"
"Aug 29, 2001","7,035.335"
"Sep 14, 2001","7,080.061"
"Sep 30, 2001","6,792.491"
"Oct 16, 2001","6,454.882"
"Nov 1, 2001","6,349.941"
"Nov 17, 2001","5,760.43"
"Dec 3, 2001","5,073.91"
"Dec 19, 2001","4,665.283"
"Jan 1, 2002","1,748.093"
"Jan 17, 2002","4,265.437"
"Feb 2, 2002","4,113.615"
"Feb 18, 2002","4,074.575"
"Mar 6, 2002","3,990.391"
"Mar 22, 2002","4,248.127"
"Apr 7, 2002","2,876.903"
"Apr 23, 2002","5,536.726"
"May 9, 2002","5,556.009"
"May 25, 2002","5,449.733"
"Jun 10, 2002","4,892.699"
"Jun 26, 2002","4,205.355"
"Jul 12, 2002","5,533.794"
"Jul 28, 2002","6,312.208"
"Aug 13, 2002","6,023.613"
"Aug 29, 2002","6,834.317"
"Sep 14, 2002","6,964.853"
"Sep 30, 2002","7,259.975"
"Oct 16, 2002","7,072.964"
"Nov 1, 2002","6,386.692"
"Nov 17, 2002","5,444.787"
"Dec 3, 2002","5,393.36"
"Dec 19, 2002","1,679.045"
"Jan 1, 2003","5,184.805"
"Jan 17, 2003","5,144.688"
"Feb 2, 2003","4,815.998"
"Feb 18, 2003","4,691.287"
"Mar 6, 2003","4,273.484"
"Mar 22, 2003","4,404.774"
"Apr 7, 2003","5,326.086"
"Apr 23, 2003","5,875.19"
"May 9, 2003","5,584.566"
"May 25, 2003","5,518.1"
"Jun 10, 2003","5,299.86"
"Jun 26, 2003","5,303.507"
"Jul 12, 2003","5,839.12"
"Jul 28, 2003","6,555.342"
"Aug 13, 2003","6,177.785"
"Aug 29, 2003","6,882.995"
"Sep 14, 2003","6,028.9"
"Sep 30, 2003","6,766.74"
"Oct 16, 2003","6,612.109"
"Nov 1, 2003","5,589.647"
"Nov 17, 2003","6,277.253"
"Dec 3, 2003","5,559.948"
"Dec 19, 2003","5,255.507"
"Jan 1, 2004","4,771.147"
"Jan 17, 2004","3,007.733"
"Feb 2, 2004","4,440.283"
"Feb 18, 2004","3,951.276"
"Mar 5, 2004","3,760.219"
"Mar 21, 2004","3,704.568"
"Apr 6, 2004","5,820.339"
"Apr 22, 2004","5,535.197"
"May 8, 2004","5,652.67"
"May 24, 2004","5,039.086"
"Jun 9, 2004","4,428.353"
"Jun 25, 2004","5,136.742"
"Jul 11, 2004","6,200.201"
"Jul 27, 2004","6,952.686"
"Aug 12, 2004","7,003.339"
"Aug 28, 2004","7,210.441"
"Sep 13, 2004","6,672.581"
"Sep 29, 2004","7,420.749"
"Oct 15, 2004","7,068.525"
"Oct 31, 2004","6,390.07"
"Nov 16, 2004","5,986.604"
"Dec 2, 2004","5,404.059"
"Dec 18, 2004","5,506.629"
"Jan 1, 2005","5,384.172"
"Jan 17, 2005","5,216.452"
"Feb 2, 2005","4,934.296"
"Feb 18, 2005","4,455.577"
"Mar 6, 2005","4,067.149"
"Mar 22, 2005","4,592.67"
"Apr 7, 2005","4,503.796"
"Apr 23, 2005","4,153.152"
"May 9, 2005","6,658.45"
"May 25, 2005","6,517.283"
"Jun 10, 2005","6,026.077"
"Jun 26, 2005","5,029.416"
"Jul 12, 2005","6,095.672"
"Jul 28, 2005","6,503.982"
"Aug 13, 2005","7,267.756"
"Aug 29, 2005","7,452.249"
"Sep 14, 2005","6,664.403"
"Sep 30, 2005","6,585.889"
"Oct 16, 2005","6,621.817"
"Nov 1, 2005","6,298.62"
"Nov 17, 2005","5,660.796"
"Dec 3, 2005","5,081.959"
"Dec 19, 2005","4,261.052"
"Jan 1, 2006","4,261.052"
"Jan 17, 2006","3,989.262"
"Feb 2, 2006","4,149.584"
"Feb 18, 2006","3,749.195"
"Mar 6, 2006","4,290.376"
"Mar 22, 2006","2,113.604"
"Apr 7, 2006","5,564.52"
"Apr 23, 2006","6,324.986"
"May 9, 2006","6,194.4"
"May 25, 2006","6,223.767"
"Jun 10, 2006","5,523.477"
"Jun 26, 2006","5,636.009"
"Jul 12, 2006","6,672.731"
"Jul 28, 2006","6,641.83"
"Aug 13, 2006","6,615.308"
"Aug 29, 2006","4,265.891"
"Sep 14, 2006","4,628.452"
"Sep 30, 2006","6,829.88"
"Oct 16, 2006","6,594.864"
"Nov 1, 2006","6,733.898"
"Nov 17, 2006","5,741.615"
"Dec 3, 2006","6,058.179"
"Dec 19, 2006","5,538.468"
"Jan 1, 2007","5,538.468"
"Jan 17, 2007","4,769.67"
"Feb 2, 2007","4,908.643"
"Feb 18, 2007","4,858.147"
"Mar 6, 2007","4,478.344"
"Mar 22, 2007","3,909.385"
"Apr 7, 2007","5,627.717"
"Apr 23, 2007","5,946.367"
"May 9, 2007","5,765.403"
"May 25, 2007","5,390.767"
"Jun 10, 2007","5,039.081"
"Jun 26, 2007","4,104.722"
"Jul 12, 2007","6,210.624"
"Jul 28, 2007","6,672.744"
"Aug 13, 2007","6,428.857"
"Aug 29, 2007","5,934.937"
"Sep 14, 2007","7,274.665"
"Sep 30, 2007","7,367.102"
"Oct 16, 2007","6,542.312"
"Nov 1, 2007","6,760.828"
"Nov 17, 2007","5,620.152"
"Dec 3, 2007","5,190.251"
"Dec 19, 2007",
"Jan 1, 2008","4,446.839"
"Jan 17, 2008","4,543.787"
"Feb 2, 2008","4,383.525"
"Feb 18, 2008","4,357.952"
"Mar 5, 2008","3,420.873"
"Mar 21, 2008","3,244.545"
"Apr 6, 2008","3,547.882"
"Apr 22, 2008","3,695.362"
"May 8, 2008","4,436.378"
"May 24, 2008","4,401.36"
"Jun 9, 2008","4,524.959"
