system:time_start,undefined
"Feb 18, 2000","3,760.874"
"Mar 5, 2000","3,536.409"
"Mar 21, 2000","3,536.523"
"Apr 6, 2000","3,182.638"
"Apr 22, 2000",
"May 8, 2000","4,786.411"
"May 24, 2000","5,136.009"
"Jun 9, 2000","4,579.961"
"Jun 25, 2000",
"Jul 11, 2000",
"Jul 27, 2000",
"Aug 12, 2000",
"Aug 28, 2000",
"Sep 13, 2000",
"Sep 29, 2000","7,383.328"
"Oct 15, 2000",
"Oct 31, 2000",
"Nov 16, 2000","6,524.3"
"Dec 2, 2000","6,357.808"
"Dec 18, 2000","5,605.289"
"Jan 1, 2001","5,709.638"
"Jan 17, 2001","4,876.105"
"Feb 2, 2001","4,541.779"
"Feb 18, 2001","4,592.243"
"Mar 6, 2001",
"Mar 22, 2001","5,158.304"
"Apr 7, 2001","5,995.968"
"Apr 23, 2001","6,322.217"
"May 9, 2001",
"May 25, 2001","6,589.4"
"Jun 10, 2001","6,734.635"
"Jun 26, 2001",
"Jul 12, 2001",
"Jul 28, 2001",
"Aug 13, 2001","7,116.874"
"Aug 29, 2001","7,128.869"
"Sep 14, 2001","7,053.015"
"Sep 30, 2001","6,818.17"
"Oct 16, 2001","6,458.014"
"Nov 1, 2001","6,336.794"
"Nov 17, 2001","5,741.989"
"Dec 3, 2001","5,148.415"
"Dec 19, 2001","4,729.311"
"Jan 1, 2002",
"Jan 17, 2002","4,345.209"
"Feb 2, 2002","4,170.369"
"Feb 18, 2002","4,097.61"
"Mar 6, 2002","4,012.965"
"Mar 22, 2002","4,547"
"Apr 7, 2002",
"Apr 23, 2002","5,549.936"
"May 9, 2002","5,572.098"
"May 25, 2002","5,473.472"
"Jun 10, 2002","5,001.071"
"Jun 26, 2002","4,234.431"
"Jul 12, 2002","5,235"
"Jul 28, 2002","6,226.158"
"Aug 13, 2002","5,915.898"
"Aug 29, 2002",
"Sep 14, 2002",
"Sep 30, 2002","7,195.568"
"Oct 16, 2002","6,913.115"
"Nov 1, 2002","6,365.851"
"Nov 17, 2002","5,424.152"
"Dec 3, 2002","5,386.96"
"Dec 19, 2002",
"Jan 1, 2003","5,235.205"
"Jan 17, 2003",
"Feb 2, 2003","4,850.029"
"Feb 18, 2003","4,754.541"
"Mar 6, 2003","4,325.917"
"Mar 22, 2003",
"Apr 7, 2003","5,399.519"
"Apr 23, 2003","5,895.828"
"May 9, 2003","5,593.331"
"May 25, 2003","5,581.053"
"Jun 10, 2003","5,331.555"
"Jun 26, 2003",
"Jul 12, 2003",
"Jul 28, 2003",
"Aug 13, 2003",
"Aug 29, 2003",
"Sep 14, 2003",
"Sep 30, 2003","6,737.218"
"Oct 16, 2003","6,557.093"
"Nov 1, 2003",
"Nov 17, 2003","6,261.252"
"Dec 3, 2003","5,523.477"
"Dec 19, 2003","5,267.368"
"Jan 1, 2004","4,773.4"
"Jan 17, 2004",
"Feb 2, 2004","4,506.722"
"Feb 18, 2004","4,035.617"
"Mar 5, 2004","3,821.362"
"Mar 21, 2004","3,822.318"
"Apr 6, 2004",
"Apr 22, 2004","5,685.477"
"May 8, 2004","5,764.03"
"May 24, 2004","4,997.459"
"Jun 9, 2004","4,459.564"
"Jun 25, 2004","5,142.614"
"Jul 11, 2004","5,964.623"
"Jul 27, 2004","6,878.806"
"Aug 12, 2004","6,830.546"
"Aug 28, 2004","7,347.815"
"Sep 13, 2004",
"Sep 29, 2004","7,354.882"
"Oct 15, 2004","6,974.412"
"Oct 31, 2004","6,309.349"
"Nov 16, 2004","5,923.231"
"Dec 2, 2004","5,360.949"
"Dec 18, 2004","5,516.521"
"Jan 1, 2005","5,331.303"
"Jan 17, 2005","5,199.343"
"Feb 2, 2005","4,966.766"
"Feb 18, 2005","4,531.422"
"Mar 6, 2005",
"Mar 22, 2005","4,701.176"
"Apr 7, 2005",
"Apr 23, 2005",
"May 9, 2005",
"May 25, 2005",
"Jun 10, 2005","5,632"
"Jun 26, 2005",
"Jul 12, 2005",
"Jul 28, 2005","6,550"
"Aug 13, 2005",
"Aug 29, 2005",
"Sep 14, 2005",
"Sep 30, 2005","6,547.072"
"Oct 16, 2005","6,575.166"
"Nov 1, 2005","6,261.286"
"Nov 17, 2005","5,663.228"
"Dec 3, 2005","5,076.638"
"Dec 19, 2005","4,299.205"
"Jan 1, 2006","4,299.205"
"Jan 17, 2006","3,981.712"
"Feb 2, 2006","4,209.469"
"Feb 18, 2006",
"Mar 6, 2006","4,344.735"
"Mar 22, 2006",
"Apr 7, 2006",
"Apr 23, 2006","6,309.188"
"May 9, 2006","5,843"
"May 25, 2006","6,187.406"
"Jun 10, 2006",
"Jun 26, 2006",
"Jul 12, 2006",
"Jul 28, 2006",
"Aug 13, 2006",
"Aug 29, 2006",
"Sep 14, 2006",
"Sep 30, 2006","6,802"
"Oct 16, 2006",
"Nov 1, 2006","6,718.849"
"Nov 17, 2006",
"Dec 3, 2006","6,024.022"
"Dec 19, 2006","5,577.703"
"Jan 1, 2007","5,577.703"
"Jan 17, 2007",
"Feb 2, 2007",
"Feb 18, 2007","4,946.588"
"Mar 6, 2007","4,622.736"
"Mar 22, 2007",
"Apr 7, 2007","5,655.209"
"Apr 23, 2007","5,981.343"
"May 9, 2007","5,829.674"
"May 25, 2007","5,540.618"
"Jun 10, 2007",
"Jun 26, 2007",
"Jul 12, 2007",
"Jul 28, 2007","6,527"
"Aug 13, 2007",
"Aug 29, 2007",
"Sep 14, 2007","7,340.453"
"Sep 30, 2007","7,311.752"
"Oct 16, 2007","6,501.622"
"Nov 1, 2007","6,751.654"
"Nov 17, 2007","5,617.277"
"Dec 3, 2007","5,236.315"
"Dec 19, 2007",
"Jan 1, 2008","4,476.144"
"Jan 17, 2008","4,579.978"
"Feb 2, 2008","4,387.462"
"Feb 18, 2008","4,364.903"
"Mar 5, 2008","3,445.38"
"Mar 21, 2008","3,264.019"
"Apr 6, 2008","3,572.487"
"Apr 22, 2008","3,733.856"
"May 8, 2008","4,318.203"
"May 24, 2008",
"Jun 9, 2008","4,320"
"Jun 25, 2008",
"Jul 11, 2008",
"Jul 27, 2008",
"Aug 12, 2008",
"Aug 28, 2008",
"Sep 13, 2008",
"Sep 29, 2008","7,436.05"
"Oct 15, 2008","6,746.241"
"Oct 31, 2008","6,956.768"
"Nov 16, 2008","6,156.942"
"Dec 2, 2008","5,794.243"
"Dec 18, 2008","4,978.276"
"Jan 1, 2009","4,965.629"
"Jan 17, 2009",
"Feb 2, 2009","4,748.918"
"Feb 18, 2009","4,363.573"
"Mar 6, 2009","4,316.315"
"Mar 22, 2009","4,520.174"
"Apr 7, 2009",
"Apr 23, 2009","4,236.578"
"May 9, 2009","4,664.172"
"May 25, 2009","4,868.119"
"Jun 10, 2009",
"Jun 26, 2009",
"Jul 12, 2009",
"Jul 28, 2009",
"Aug 13, 2009",
"Aug 29, 2009","6,648"
"Sep 14, 2009","7,074.493"
"Sep 30, 2009","6,846"
"Oct 16, 2009","7,131.455"
"Nov 1, 2009","6,466.257"
"Nov 17, 2009","5,939.438"
"Dec 3, 2009","5,890.993"
"Dec 19, 2009",
"Jan 1, 2010","6,103.284"
"Jan 17, 2010","5,917.199"
"Feb 2, 2010","5,499.965"
"Feb 18, 2010","5,797.478"
"Mar 6, 2010","5,748.721"
"Mar 22, 2010","5,513.058"
"Apr 7, 2010","6,586.4"
"Apr 23, 2010",
"May 9, 2010","7,032.918"
"May 25, 2010",
"Jun 10, 2010","5,977.031"
"Jun 26, 2010","5,968.835"
"Jul 12, 2010",
"Jul 28, 2010",
"Aug 13, 2010",
"Aug 29, 2010",
"Sep 14, 2010",
"Sep 30, 2010","6,219"
"Oct 16, 2010","6,518.884"
"Nov 1, 2010","5,528.04"
"Nov 17, 2010","5,419.788"
"Dec 3, 2010","5,005.455"
"Dec 19, 2010","4,563.512"
"Jan 1, 2011","4,357.302"
"Jan 17, 2011","3,844.834"
"Feb 2, 2011","3,981.422"
"Feb 18, 2011","3,809.477"
"Mar 6, 2011",
"Mar 22, 2011","3,649.665"
"Apr 7, 2011",
"Apr 23, 2011","5,423.303"
"May 9, 2011","5,190"
"May 25, 2011","5,516"
"Jun 10, 2011","6,139.519"
"Jun 26, 2011",
"Jul 12, 2011",
"Jul 28, 2011",
"Aug 13, 2011",
"Aug 29, 2011",
"Sep 14, 2011","7,124.032"
"Sep 30, 2011","6,616.073"
"Oct 16, 2011","6,075.983"
"Nov 1, 2011",
"Nov 17, 2011","5,887.508"
"Dec 3, 2011","5,472.617"
"Dec 19, 2011","5,505.651"
"Jan 1, 2012","4,734.791"
"Jan 17, 2012","4,090.064"
"Feb 2, 2012","4,040.318"
"Feb 18, 2012","3,522.068"
"Mar 5, 2012","3,245.841"
"Mar 21, 2012",
"Apr 6, 2012","3,997.903"
"Apr 22, 2012","4,769.133"
"May 8, 2012","5,446.335"
"May 24, 2012",
"Jun 9, 2012",
"Jun 25, 2012",
"Jul 11, 2012",
"Jul 27, 2012",
"Aug 12, 2012","6,336.137"
"Aug 28, 2012",
"Sep 13, 2012",
"Sep 29, 2012","6,441.811"
