Date,RAW,DOY,NDVI,Year
18-Feb-00,"3,681.94",49,0.3681935,2000
5-Mar-00,"3,439.29",65,0.3439294,2000
21-Mar-00,"3,476.65",81,0.347665,2000
6-Apr-00,"3,088.51",97,0.3088505,2000
22-Apr-00,NA,113,#VALUE!,2000
8-May-00,"4,745.97",129,0.4745973,2000
24-May-00,"5,050.50",145,0.5050498,2000
9-Jun-00,"4,405.24",161,0.4405237,2000
25-Jun-00,NA,177,#VALUE!,2000
11-Jul-00,"5,540",193,0.554,2000
27-Jul-00,NA,209,#VALUE!,2000
12-Aug-00,NA,225,#VALUE!,2000
28-Aug-00,"7,172.50",241,0.7172501,2000
13-Sep-00,NA,257,#VALUE!,2000
29-Sep-00,"7,403.31",273,0.7403314,2000
15-Oct-00,NA,289,#VALUE!,2000
31-Oct-00,NA,305,#VALUE!,2000
16-Nov-00,"6,588.57",321,0.658857,2000
2-Dec-00,"6,311.05",337,0.6311047,2000
18-Dec-00,"5,538.47",353,0.5538473,2000
1-Jan-01,"5,348.64",1,0.5348643,2001
17-Jan-01,"4,807.18",17,0.4807176,2001
2-Feb-01,"4,345.40",33,0.43454,2001
18-Feb-01,"4,304.93",49,0.4304926,2001
6-Mar-01,NA,65,#VALUE!,2001
22-Mar-01,"5,110.42",81,0.5110422,2001
7-Apr-01,"6,008.32",97,0.6008315,2001
23-Apr-01,"6,272.64",113,0.6272641,2001
9-May-01,"6,570",129,0.657,2001
25-May-01,"6,635.65",145,0.6635651,2001
10-Jun-01,"6,760.77",161,0.676077,2001
26-Jun-01,NA,177,#VALUE!,2001
12-Jul-01,NA,193,#VALUE!,2001
28-Jul-01,NA,209,#VALUE!,2001
13-Aug-01,"7,110.66",225,0.711066,2001
29-Aug-01,"7,277.75",241,0.7277753,2001
14-Sep-01,"7,165.60",257,0.7165603,2001
30-Sep-01,"7,028.30",273,0.7028297,2001
16-Oct-01,"6,483.56",289,0.6483557,2001
1-Nov-01,"6,318.32",305,0.6318318,2001
17-Nov-01,"5,635.02",321,0.5635019,2001
3-Dec-01,"5,040.16",337,0.5040157,2001
19-Dec-01,"4,531.79",353,0.4531788,2001
1-Jan-02,NA,1,#VALUE!,2002
17-Jan-02,"4,039.39",17,0.4039386,2002
2-Feb-02,"3,812.29",33,0.381229,2002
18-Feb-02,"3,888.31",49,0.3888306,2002
6-Mar-02,"3,868.15",65,0.3868151,2002
22-Mar-02,"3,997.67",81,0.3997673,2002
7-Apr-02,NA,97,#VALUE!,2002
23-Apr-02,"5,469.40",113,0.54694,2002
