DATE,OBS,TIME,LOCATION,SNAME,SEX,AGE CLASS,TOTAL,Face,Head,UpperBack,MidBack,LowerBack,Ventrum,Cape,Shoulder,UpperArmElbow,Forearm,WristHand,Flank,Hip,HindLeg,ThighKnee,LowerLeg,AnkleFoot,Hindquarter,ProximalTail,MidTail,DistalTail
6/11/17,BL,13:15:32 pm,UNKNOWN,P=N,M,A,4,,,,,,,,,,,,4,,,,,,,,,
10/11/17,BL,12:57:20,UNKNOWN,BAN,M,A,1,,,,,1,,,,,,,,,,,,,,,,
10/11/17,BL,9:01:28,UNKNOWN,REN,F,A,0,,,,,,,,,,,,,,,,,,,,,
10/11/17,BL,9:45:48,UNKNOWN,REN,F,A,0,,,,,,,,,,,,,,,,,,,,,
10/11/17,BL,13:33:46 pm,UNKNOWN,ZIO,F,A,0,,,,,,,,,,,,,,,,,,,,,
11/11/17,BL,13:15:32 pm,UNKNOWN,ANU,F,A,0,,,,,,,,,,,,,,,,,,,,,
11/11/17,BL,15:22:43 pm,UNKNOWN,LOG,M,A,1,,,,,,,,,,,,,,,1,,,,,,
11/11/17,BL,9:03:47,UNKNOWN,TRO,F,A,0,,,,,,,,,,,,,,,,,,,,,
12/11/17,BL,11:55:47,UNKNOWN,ACO,F,A,1,,,,,,,,,,,,,,,,,,,,,1
12/11/17,BL,12:29:16,UNKNOWN,ANG,F,A,0,,,,,,,,,,,,,,,,,,,,,
12/11/17,BL,14:17:28 pm,UNKNOWN,PTO,M,A,6,,,,6,,,,,,,,,,,,,,,,,
12/11/17,BL,14:41:05 pm,UNKNOWN,TIP,F,A,3,,,2,1,,,,,,,,,,,,,,,,,
13/11/2017,BL,12:13:14,UNKNOWN,ART,F,A,18,,,,,,2,,,4,,,,,,12,,,,,,
13/11/2017,BL,10:48:30,UNKNOWN,REN,F,A,4,,,1,,,,,,,,2,,,,1,,,,,,
13/11/2017,BL,11:15:07,UNKNOWN,RHE,F,A,1,,,,1,,,,,,,,,,,,,,,,,
13/11/2017,BL,8:58:32,UNKNOWN,ROG,F,A,0,,,,,,,,,,,,,,,,,,,,,
