"","DATE","OBS","TIME","LOCATION","SNAME","SEX","AGE.CLASS","TOTAL","Face","Head","UpperBack","MidBack","LowerBack","Ventrum","Cape","Shoulder","UpperArmElbow","Forearm","WristHand","Flank","Hip","HindLeg","ThighKnee","LowerLeg","AnkleFoot","Hindquarter","ProximalTail","MidTail","DistalTail","newdate","month","yr","dy","newage"
"1","6/11/17","BL","13:15:32 pm","UNKNOWN","P=N","M","A",4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2017-11-06,"11","2017",6,"Large"
"2","10/11/17","BL","12:57:20","UNKNOWN","BAN","M","A",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-10,"11","2017",10,"Large"
"3","10/11/17","BL","9:01:28","UNKNOWN","REN","F","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-10,"11","2017",10,"Medium"
"4","10/11/17","BL","9:45:48","UNKNOWN","REN","F","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-10,"11","2017",10,"Medium"
"5","10/11/17","BL","13:33:46 pm","UNKNOWN","ZIO","F","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-10,"11","2017",10,"Medium"
"6","11/11/17","BL","13:15:32 pm","UNKNOWN","ANU","F","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-11,"11","2017",11,"Medium"
"7","11/11/17","BL","15:22:43 pm","UNKNOWN","LOG","M","A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-11-11,"11","2017",11,"Large"
"8","11/11/17","BL","9:03:47","UNKNOWN","TRO","F","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-11,"11","2017",11,"Medium"
"9","12/11/17","BL","11:55:47","UNKNOWN","ACO","F","A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017-11-12,"11","2017",12,"Medium"
"10","12/11/17","BL","12:29:16","UNKNOWN","ANG","F","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-12,"11","2017",12,"Medium"
